title,price,description,main_image,images,features
شمع تقویتی خودرو ان جی کی مدل سوزنی - ORG مناسب برای ام وی ام X22 بسته ۴ عددی,608400,,"https://dkstatics-public.digikala.com/digikala-products/2f63fed637d9e17a31fdfdad3d28ab1912dd97c6_1744978123.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/2b95de001219e2915f31ff934bd424a1678e05c6_1744978116.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/10f1312dc108e23f0ce52d2b6e221e939f5b90bb_1744978118.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/f8f1d517022c414975f83affa78765a4e639a05d_1744978118.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/aa75f77ba72e9ec018e388493b7e018e5a2cd6cc_1744978118.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/84335c68380caa3bf7ab7db6d1c0c2a128e63d7c_1744978118.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/9010cfa99a336896ef10bdf2bd28326dda1bb534_1744978119.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/44efa3514e316b1413081ee5b1327aba6ed52974_1744978120.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/1f0b25608c331d39421a74cefa1c51ea3bde75e8_1744978121.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/643f7b4dcd98667f462321b8193076bf1996d356_1744978121.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e71987ce35dde687cb72ade4badbb63ff6160544_1762691586.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']","{'نوع شمع خودرو': 'ام وی ام چری', 'تعداد': '4', 'مناسب برای خودرو': 'ام وی ام X22', 'توضیحات مدل خودرو': 'مناسب برای انواع مدل خودروی ام وی ام X22 نسل اول تا سال ساخت ۱۴۰۲ ( بر روی نسخه پرو قابل نصب نمی باشد.)', 'نوع پایه': 'پایه کوتاه'}"
شمع خودرو ان جی کی مدل ORG.Jpn کد BKR6E11 پایه کوتاه مناسب برای تیبا ، کوییک ، اطلس بسته ۴ عددی,615000,,"https://dkstatics-public.digikala.com/digikala-products/dddcbf04c1a017f598ba346054f83f5afa15bd26_1753819020.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/85fac60c5eae46623766ab8b277d4e29451c76ba_1753819005.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/b7240eba21263425e8a169584aff5efdb669abca_1753819007.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/f01b6722661f022e1061c66b6a35cf0043b81a6b_1753819009.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e15fe30601a0ec10a50ed9b3384d317a60b52bc8_1753819013.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/8151e7b3cc13fe712c1af6c6c000a35651c6ff4a_1753819017.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/7a1fabaf1ded3c929bba2abb4e898c55e6f2b359_1753819017.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/36cb4e93f7ec83b5a9414514b68725888e9d1477_1753819024.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e71987ce35dde687cb72ade4badbb63ff6160544_1762691586.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']","{'کشور سازنده': 'ژاپن', 'طول عمر مفید': 'بهتر است هر ۴۰ هزار کیلومتر تعویض شود ، قابلیت کارکرد بدون ایراد تا ۸۰ هزار کیلومتر.', 'نوع واشر': 'دو\u200cلایه', 'نوع ترمینال': 'توپُر', 'نوع شمع خودرو': 'سایپا'}"
شمع تقویتی خودرو بوش مدل سوزنی ایریدیوم کد Russia+42 پایه بلند مناسب برای پژو 206 تیپ 5 و 207 بسته 4 عددی,742470,,"https://dkstatics-public.digikala.com/digikala-products/6ac44c8d6bd849bfe719197f62b4b4b3fc32814b_1754847620.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/eaf28905811a75b260ea72a2fd19673a967feafa_1754847620.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/5c3eedadbea024a5e9e22014ff8eb2fd75108ee9_1754847619.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/cfe148f916f74f00b5853b18c6e613a2c53cbf69_1754847619.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/63408879f68fbda093eae775f30f28fb3677cb22_1754847619.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/0b3c6f98269e03b02da9f1b03f23016b4275b54d_1754847619.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/ac99e3eb3b3d8a225878d2675dc2f7d19b123884_1754847619.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/539be0118f285e62f9dea9c7a4f30fee18229c2e_1754847620.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/86536e959fb3fbd9eaba1d9f6bf5a14782d184e0_1754847620.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e71987ce35dde687cb72ade4badbb63ff6160544_1762691586.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']","{'کشور سازنده': 'آلمان', 'طول عمر مفید': 'بهتر است هر ۴۰ هزار کیلومتر تعویض شود ، با قابلیت کارکرد تا ۸۰ هزار کیلومتر.', 'نوع واشر': 'دو\u200cلایه', 'نوع ترمینال': 'پیچی', 'نوع شمع خودرو': 'پژو'}"
شمع خودرو عظام مدل کد 8004 مناسب برای پراید مجموعه 4 عددی,325500,بسته 4 عددی شمع موتور پرايد انژكتور تك پلاتين یکی از مهم ترین قطعات موتوری می باشدو این قطعه از قطعاتی شامل الکترود ، عایق چینی، واشرها و غیره تشکیل می شود ودر بالای سرسیلندر خودرو قرار دارد. شمع با کمک وایر ولتاژ مورد نیاز خود را دریافت و اقدام به جرقه زنی می کند و باعث روشن شدن موتور و حرکت خودرو می شود . این محصول بر روی پرایدهای یورو 4 با پایه بلند قابل نصب نمیباشد,"https://dkstatics-public.digikala.com/digikala-products/fdb1fe58491489ff09f98298f7a03f6432a7d9e4_1632135926.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/7e4c9fb27e037974747981f19aa465a402fb0420_1632135926.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/fdb1fe58491489ff09f98298f7a03f6432a7d9e4_1632135926.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e71987ce35dde687cb72ade4badbb63ff6160544_1762691586.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']","{'تعداد': '4', 'مناسب برای خودرو': 'پراید سایپا پراید 111 سایپا پراید 131 سایپا پراید 132 سایپا پراید 141 سایپا پراید 151 (وانت) پراید X100 پراید صبا پراید نسیم', 'توضیحات مدل خودرو': 'به پراید یورو 4 نمیخورد', 'نوع پایه': 'پایه کوتاه', 'آلیاژ جرقه\u200cزن': 'پلاتین'}"
شمع خودرو ان جی کی مدل LZKR6B-E 94937 یورو 4 بسته 4 عددی,432000,به دلیل استفاده از آلیاژهای مناسب و با کیفیت مطلوب در این نوع شمع عمر کارکرد مفید این شمع معادل ۵۰ هزار کیلومتر می باشد. این در حالی است که شمع های معمول در بازار عمری معادل ۲۰ هزار کیلومتر کارکرد برای خودرو شما دارند. این شمع از نوع اصلی NGK بوده و ساخت کشور ژاپن است. این شمع از نوع پایه بلند و سر تخت می باشد. نیاز به فیلرگیری در این شمع وجود ندارد و مطابق با استاندارد خودروهای یورو۴ طراحی و تولید شده است. مقاومت حرارتی شمع خودرو یورو۴ NGK معادل ۲۵۰۰ درجه سانتی‌گراد بوده که همین امر باعث شده در دمای بالا و دور موتور بالا افت ولتاژ جرقه در این نوع شمع رخ ندهد. به‌طور کلی عمر شمع نیز به‌طور مستقیم به نوع سوخت مصرفی شما بستگی خواهد داشت. اگر بر روی ماشین از گاز استفاده کنید به دلیل ایجاد حرارت بالاتر نسبت به بنزین عمر شمع نیز کاهش خواهد یافت. بعد از استفاده از این نوع شمع موارد زیر برای شما مشهود خواهند بود: <p>_کاهش میزان آلایندگی خودرو و کاهش مصرف سوخت </p> <p>_کیفیت بالاتر و روان‌تر کار کردن موتور نسبت به شمع کارخانه ای موجود بر روی خودرو </p>,"https://dkstatics-public.digikala.com/digikala-products/f087a3460169f139beb94a316dc4789d5e00ed99_1701028886.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/111415511.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/1cc97e6e081af6531551a7c58c44a393cf21b1b9_1701028886.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/111415526.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/77940675139ab91b7bc77d52111c8a039184d81e_1701028886.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e71987ce35dde687cb72ade4badbb63ff6160544_1762691586.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']","{'تعداد': '4', 'ویژگی\u200cهای شمع': 'مکانیسم سرد', 'مناسب برای خودرو': 'خودروهای یورو 4', 'توضیحات مدل خودرو': 'پراید یورو 4 مدل های 94 به بعد سراتو 1.8 و 2.0 مدل های 2014-2017 سراتو 1600 هیوندای ولستر 1.8 مدل 2012 تا 2017 هیوندای ولستر 1.6 مدل 2011 تا 2017', 'نوع پایه': 'یورو 4'}"
شمع خودرو بوش مدل ۲ پلاتین - Gemany پایه کوتاه مناسب برای تیبا کوییک اطلس بسته ۴ عددی,367720,,"https://dkstatics-public.digikala.com/digikala-products/a0446d75c80e659c2aceec730729722facbcf930_1748952524.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/fb4af0c289f9cc9d31a9193ea5a750f90885b84a_1748952510.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/73959dcfda4e8917913bd11cfd2a56eeb884a4b3_1748952513.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/bca2a6d2b686a215392d07cedc2d07f47a887c54_1748952513.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/436d53823e9941e3819876a51a9841df1eb77d25_1748952520.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/fd83bcde06005b63c10fd7925dcb917c9ec057ff_1748952521.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/540dfb5169094bcec0a3f830c5d5ded7302493e7_1748952519.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/7958f11c9df50a99ae8526a33bcaaa167640fbb1_1748952519.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/dd471320d32fa0c8bf373108ebb13803b2fcf09e_1748952517.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/aae2b662757ee79e61071b792692e93682b4b8f9_1748952525.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/58c0dc85f3c68171a516cf36a9d7073c5a4b1bb2_1748952525.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e71987ce35dde687cb72ade4badbb63ff6160544_1762691586.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']","{'کشور سازنده': 'آلمان', 'طول عمر مفید': 'بهتر است هر ۴۰ هزار کیلومتر تعویض شود.', 'نوع واشر': 'دو\u200cلایه', 'نوع ترمینال': 'توپُر', 'نوع شمع خودرو': 'سایپا'}"
شمع موتور عظام مدل دو پلاتین کد 006 مناسب برای پژو 405 بسته 4 عددی,369000,بسته 4 عددی شمع پژو 405 انژكتور دو پلاتين یکی از مهم ترین قطعات موتوری می باشدو این قطعه از قطعاتی شامل الکترود ، عایق چینی، واشرها و غیره تشکیل می شود ودر بالای سرسیلندر خودرو قرار دارد. شمع با کمک وایر ولتاژ مورد نیاز خود را دریافت و اقدام به جرقه زنی می کند و باعث روشن شدن موتور و حرکت خودرو می شود .,"https://dkstatics-public.digikala.com/digikala-products/fdb1fe58491489ff09f98298f7a03f6432a7d9e4_1632116485.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/7e4c9fb27e037974747981f19aa465a402fb0420_1632113918.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/fde60a2291ee6c55c530c6414fc1aaa133cc9135_1632113917.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/fdb1fe58491489ff09f98298f7a03f6432a7d9e4_1632116485.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e71987ce35dde687cb72ade4badbb63ff6160544_1762691586.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']","{'تعداد': '4', 'ویژگی\u200cهای شمع': 'مکانیسم سرد', 'مناسب برای خودرو': 'پژو 405 پژو پارس کیا سراتو 1600', 'توضیحات مدل خودرو': 'برای تمامی مدل های پژو 405 دوگانه ، سمند دوگانه و پارس دوگانه', 'نوع پایه': 'پایه کوتاه'}"
شمع خودرو بوش مدل 2 پلاتین مناسب برای پیکان و روآ بسته 4 عددی,368000,,"https://dkstatics-public.digikala.com/digikala-products/a0446d75c80e659c2aceec730729722facbcf930_1748948918.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/fb4af0c289f9cc9d31a9193ea5a750f90885b84a_1748948908.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/540dfb5169094bcec0a3f830c5d5ded7302493e7_1748948912.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/dd471320d32fa0c8bf373108ebb13803b2fcf09e_1748948912.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/73959dcfda4e8917913bd11cfd2a56eeb884a4b3_1748948913.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/436d53823e9941e3819876a51a9841df1eb77d25_1748948914.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/bca2a6d2b686a215392d07cedc2d07f47a887c54_1748948912.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/7958f11c9df50a99ae8526a33bcaaa167640fbb1_1748948914.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/58c0dc85f3c68171a516cf36a9d7073c5a4b1bb2_1748948920.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/fd83bcde06005b63c10fd7925dcb917c9ec057ff_1748948915.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/aae2b662757ee79e61071b792692e93682b4b8f9_1748948921.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e71987ce35dde687cb72ade4badbb63ff6160544_1762691586.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']","{'کشور سازنده': 'آلمان', 'طول عمر مفید': 'بهتر است هر ۴۰ هزار کیلومتر تعویض شود.', 'نوع واشر': 'دو\u200cلایه', 'نوع ترمینال': 'توپُر', 'نوع شمع خودرو': 'ایران خودرو'}"
شمع خودرو بوش مدل 2 پلاتین مناسب برای پراید بسته 4 عددی,390000,,"https://dkstatics-public.digikala.com/digikala-products/a0446d75c80e659c2aceec730729722facbcf930_1748952207.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/fb4af0c289f9cc9d31a9193ea5a750f90885b84a_1748952203.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/540dfb5169094bcec0a3f830c5d5ded7302493e7_1748952205.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/73959dcfda4e8917913bd11cfd2a56eeb884a4b3_1748952206.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/7958f11c9df50a99ae8526a33bcaaa167640fbb1_1748952205.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/bca2a6d2b686a215392d07cedc2d07f47a887c54_1748952205.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/fd83bcde06005b63c10fd7925dcb917c9ec057ff_1748952206.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/dd471320d32fa0c8bf373108ebb13803b2fcf09e_1748952204.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/436d53823e9941e3819876a51a9841df1eb77d25_1748952206.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/aae2b662757ee79e61071b792692e93682b4b8f9_1748952207.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e71987ce35dde687cb72ade4badbb63ff6160544_1762691586.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']","{'کشور سازنده': 'آلمان', 'طول عمر مفید': 'بهتر است هر ۴۰ هزار کیلومتر تعویض شود.', 'نوع واشر': 'دو\u200cلایه', 'نوع ترمینال': 'توپُر', 'نوع شمع خودرو': 'سایپا'}"
شمع خودرو ان جی کی مدل 6962 اورجینال مناسب برای پراید و تیبا بسته 4 عددی,386810,ساختار شمع تک پلاتین انژکتوری ۶۹۶۲ ان جی کی: این محصول از سری شمع موتور استاندارد خانواده NGK ان جی کی ژاپن میباشد، ویژگی های بارز این محصول V شکل بودن الکترود آن است که باعث تبدیل جرقه به یک مثلث بین الکترود منفی و مثبت میشود که این خود باعث بهبود کیفیت احتراق افزایش شتاب و کاهش مصرف در بنزین میشود ،الکترود نیکلی با قطر ۲.۵ میلیمتر از جنس نیکل خالص میباشد،در این محصول از ابکاری با نیکل از استفاده شده است،این مزیت باعث جلوگیری از گریپاژ شمع موتور در داخل سیلندر به مرور زمان میشود و همچنین به مقدار قابل توجهی از رسوب کربنی در شاسی شمع موتور جلوگیری میکند.ویژگی دیگر این شمع موتور NGK استفاده از چینی الومینیم سیلیکات چندلایه و شیار دار برای جلوگیری از رسیدن به دمای شکست یا به عبارتی قطع شدن شمع میشود. فاصله بین دو الکترود یا به اصطلاح فیلر این شمع ۰.۸ بوده که با بسیاری از خودروهای داخلی سازگاری خوبی داشته و نیازی به تنظیم فیلر به هنگام نصب شمع ندارد. داشتن هسته مسی دیگر ویژگی این محصول میباشد،هسته مسی در داخل شمع موتور مانند یک مبدل حرارتی عمل میکند و شمع موتور را همواره در دمای تعریف شده نگه میدارد. استفاده از واشر حجیم و ابکاری شده با نیکل مانع ورود و نشت به بلوک سیلندر میشود. سایز شمع تک پلاتین ان جیکا BKR۶E ژاپن: این شمع موتور ارتفاع پایه آن ۱۹ میلیمتر میباشد که در اصطلاح عامیانه پایه استاندارد گفته میشود،سایز آچار آن ۱۶ میلیمتر یا ۵/۸ اینچ میباشد که در اصطلاح عامیانه یعنی با آچار ۱۶ میتوان این شمع را نصب کرد ،سایز رزوه آن ۱۴ میلیمتر میباشد.که در اصطلاح عامیانه سایز سر سیلندر میباشد که شمع موتور در داخل آن بسته میشود.ترمینال شمع ثابت میباشد بدین معنی که محلی که وایر روی آن نصب میشود پیچی نیست و فقط وایر های نوع ترمینال بزرگ به این شمع موتور متصل میشوند.,"https://dkstatics-public.digikala.com/digikala-products/6ac42d6a65803704d2a79e8fa8edb3143f9a07a4_1737309696.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/8244cd31c44e2216ab292a30515ae74ec55c373b_1737293584.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e71987ce35dde687cb72ade4badbb63ff6160544_1762691586.jpg?x-oss-process=image/resize,m_lfit,h_300,w_300/format,webp/quality,q_80']","{'نوع شمع خودرو': 'ایران خودرو سایپا پژو', 'تعداد': '4', 'ویژگی\u200cهای شمع': 'مکانیسم سرد', 'مناسب برای خودرو': 'پژو 206 پژو 405 پژو پارس سمند سمند LX سمند سورن سمند سورن پلاس دنا دنا پلاس پراید سایپا پراید 111 سایپا پراید 131 سایپا پراید 132 سایپا پراید 141 سایپا پراید 151 (وانت) پراید X100 پراید صبا پراید نسیم تیبا تیبا 2 ساینا کوییک', 'توضیحات مدل خودرو': 'پژو 206 از نوع تیپ 2 و 3 و صندوقدار V20 دارای موتور TU3 و کلیه خانواده ایرانخودرو با موتور XU7 و EF7 و خانواده سایپا با موتور یورو 4 و M13 , M15 میباشد.'}"
