title,price,description,main_image,images,features
وایر شمع تقویتی سانکو مدل P0105 مناسب برای پراید بسته 4 عددی,330000,مقاومت صفر و 9 میل دارد. این وایر با هسته 5 رشته ای و روکش ضد نویز میباشد،،گیره های اتصال با کیفیت و روکش آن از سیلکون خالص میباشد،این وایر دارای کارکرد و دوام بالا است، سیم آن دارای مقاومت پایین با هسته خاص تقویتی میباشد,"https://dkstatics-public.digikala.com/digikala-products/a7c05359ebee84aed1b07a36de2ac1b0cb9b0217_1627145338.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/ecb6838d9234ba954a41ddefdcc806956e3a9483_1627297930.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/a7c05359ebee84aed1b07a36de2ac1b0cb9b0217_1627145338.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'شماره فنی': 'V.P6533', 'ولتاژ دستگاه': '50000', 'ویژگی\u200cهای وایر شمع': 'روکش الیافی', 'مناسب برای خودرو': 'تیبا پراید ساینا', 'توضیحات مدل خودرو': 'زیمنس'}"
وایر شمع تقویتی خودرو ان جی کی کد 05 مناسب برای پژو 405 بسته 4 عددی,315900,,"https://dkstatics-public.digikala.com/digikala-products/a8e21b43cd9c696bf662f387f0daf5e65d09caa0_1699946510.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/5525a3b41f695bab8688c2c9afed337e35a00da2_1699810257.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/a8e21b43cd9c696bf662f387f0daf5e65d09caa0_1699946510.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'نوع وایر شمع': 'بنزینی', 'ویژگی\u200cهای وایر شمع': 'روکش سیلیکونی', 'مناسب برای خودرو': 'پژو 405', 'سیستم برقی خودرو': 'مشترک', 'تعداد در بسته\u200cبندی': '4'}"
وایر شمع تقویتی مدل 2022 مناسب برای پراید زیمنس مجموعه 4 عددی,165090,,"https://dkstatics-public.digikala.com/digikala-products/b1327f10b5fef04181534326857de4b96434c9e4_1645474364.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/80e06462da5fd35a76b360bf598b69d1263285da_1645474590.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/b1327f10b5fef04181534326857de4b96434c9e4_1645474364.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'مناسب برای خودرو': 'پراید', 'سیستم برقی خودرو': 'زیمنس', 'مقاومت الکتریکی': 'صفر', 'کشور سازنده': 'ایران', 'تعداد در بسته\u200cبندی': '4'}"
وایر شمع مدل تقویتی کد 2141 مناسب برای پژو 405 زیمنس مجموعه 4 عددی,147000,,"https://dkstatics-public.digikala.com/digikala-products/bde870f4204f9229b64c2d1da4ccf06279315b8b_1638296841.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/7212e601404fc345e002df33f90239ef6b481cb1_1638296830.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/bde870f4204f9229b64c2d1da4ccf06279315b8b_1638296841.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'مناسب برای خودرو': 'پژو 405', 'سیستم برقی خودرو': 'زیمنس', 'تعداد در بسته\u200cبندی': '4'}"
وایر شمع تقویتی ان جی کی مدل NGK204q مناسب برای کوییک و ساینا بسته 4 عددی,338220,وایر شمع تقویتی NGK از کابل سیلیکونی استاندارد با مغزی دو رشته بوبین پیچ ساخته شده است. این وایر شمع با جرقه‌زنی و احتراق عالی، مصرف سوخت را کاهش داده و شتاب خودرو را افزایش می‌دهد. همچنین استارت راحتی را در فصل سرما فراهم کرده و دارای مقاومت الکتریکی پایین است. این محصول برای انواع خودروهای کوئیک و ساینا مناسب می‌باشد.,"https://dkstatics-public.digikala.com/digikala-products/a112a820073cc116584deb97b704a8a1c3408bac_1740235094.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/77bf86f47c69aec76282f529b239a9e00aa31481_1740235113.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/a112a820073cc116584deb97b704a8a1c3408bac_1740235094.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'نوع وایر شمع': 'دوگانه سوز بنزینی', 'مناسب برای خودرو': 'کوییک ساینا تیبا تیبا 2 اطلس', 'سیستم برقی خودرو': 'انژکتور', 'تعداد در بسته\u200cبندی': '4'}"
وایر شمع تقویتی خودرو ان جی کی کد NGK03 مناسب برای پراید زیمنس دوگانه سوز بسته 4 عددی,340000,,"https://dkstatics-public.digikala.com/digikala-products/feaef7da9554bdd0fb9cdc8e96829142625d9194_1729329582.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/48aa9a77c6cc47f750522b40c2605fc095939388_1729329581.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/e4cc4042c5c6a4a6394f61551ec1359af348aec6_1729329585.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/feaef7da9554bdd0fb9cdc8e96829142625d9194_1729329582.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', '/statics/img/png/voucher/discount-voucher.webp']","{'شماره فنی': 'NGK03', 'ویژگی\u200cهای وایر شمع': 'روکش سیلیکونی', 'مناسب برای خودرو': 'پراید', 'سیستم برقی خودرو': 'زیمنس', 'تعداد در بسته\u200cبندی': '4'}"
وایر شمع تقویتی خودرو ان جی کی کد 02 مناسب برای پراید ساژم بسته 4 عددی,352800,,"https://dkstatics-public.digikala.com/digikala-products/d4d113cc4149c7f9dbe0fcc7b8a77dac079d64d8_1699946893.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/5525a3b41f695bab8688c2c9afed337e35a00da2_1699810821.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/d4d113cc4149c7f9dbe0fcc7b8a77dac079d64d8_1699946893.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', '/statics/img/png/voucher/discount-voucher.webp']","{'نوع وایر شمع': 'بنزینی', 'ویژگی\u200cهای وایر شمع': 'روکش سیلیکونی', 'مناسب برای خودرو': 'پراید', 'سیستم برقی خودرو': 'ساژم', 'تعداد در بسته\u200cبندی': '4'}"
وایر شمع ایساکو کد 23201012 مناسب برای پژو 405 بسته 4 عددی,314810,وایر شمع ایساکو مناسب برای موتور XU7 می باشد که شامل 4 عدد وایر از شماره 1 تا4 که یک سمت ان بر روی کویل و سمت دیگر ان روی شمع موتور با رسانای عالی وایر یکی از عواملی است که در زمان جرقه ار حدر رفت ان جلو گیری کرده و باعث پایین امدن سوخت و شتاب گیری می شود یکی از علت های ریپ زدن در خودرو وایر های شمع می باشد که کیلومتر مناسب برای تعویض هر 70000 کیلومتر می باشد,"https://dkstatics-public.digikala.com/digikala-products/dfab614e648a2b4c847ff140ab6f2649983a08e9_1612455235.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/84fdb4b528446cdd28c120768ca305e44821ef6b_1612455262.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/c7e0d11e5bba7f2ed98e65fea641984aec0c4aa4_1612455253.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/40eb67bbb9238bf8a2df89d6e32f47cad9b2c317_1612455271.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/dfab614e648a2b4c847ff140ab6f2649983a08e9_1612455235.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'شماره فنی': '23201012', 'مناسب برای خودرو': 'پژو 405', 'سیستم برقی خودرو': 'مشترک', 'مقاومت دمایی': 'دارد درجه سانتی\u200cگراد', 'کشور سازنده': 'ایران'}"
وایر شمع تقویتی خودرو ان جی کی کد 100 مناسب برای تیبا بسته 4 عددی,333550,,"https://dkstatics-public.digikala.com/digikala-products/9f702f72a32f4a5727258cb1d7de9e7e215c0fbc_1699946662.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/5525a3b41f695bab8688c2c9afed337e35a00da2_1699810572.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/9f702f72a32f4a5727258cb1d7de9e7e215c0fbc_1699946662.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'نوع وایر شمع': 'دوگانه سوز بنزینی', 'ویژگی\u200cهای وایر شمع': 'روکش سیلیکونی', 'مناسب برای خودرو': 'تیبا', 'سیستم برقی خودرو': 'مشترک', 'تعداد در بسته\u200cبندی': '4'}"
وایر شمع تقویتی خودرو کد 67 بسته 4 عددی,152920,این وایرها با جنس سیلیکونی، دارای مقاومت گرمایی بسیار بالا هست که باعث زیاد بودن طول عمر وایر نسبت به نمونه های فابریک و معمولی میشود و وایرهای تقویتی بر خلاف وایرهای استاندارد و حتی معروف موجود در بازار دارای اهم صفر و نویزگیری شده هست یعنی هیچ مقاومتی در برابر انتقال جریان برق ندارد که این کار باعث افزایش راندمان و نرم کار کردن خودرو میشود.(طول عمر مفید این وایرها 120هزار کیلومتر میباشد.),"https://dkstatics-public.digikala.com/digikala-products/018665b662a34b76605931ff6f5e446970be2890_1639549130.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90","['https://dkstatics-public.digikala.com/digikala-products/3cc59fcab54a6687f2899f77d33de6869b1469cd_1639495948.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/85b41a70bc9b021b4f9a13c463051a2184ccde22_1639496109.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/8583009e23900f75a341231d6e1b51681ea7b619_1639513292.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90', 'https://dkstatics-public.digikala.com/digikala-products/018665b662a34b76605931ff6f5e446970be2890_1639549130.jpg?x-oss-process=image/resize,m_lfit,h_800,w_800/format,webp/quality,q_90']","{'ویژگی\u200cهای وایر شمع': 'روکش سیلیکونی', 'مناسب برای خودرو': 'پژو 405 پژو پارس سمند سمند LX', 'توضیحات مدل خودرو': 'برای ماشین هایی با موتور xu7', 'سیستم برقی خودرو': 'ساژم', 'تعداد در بسته\u200cبندی': '4'}"
